Steel,C,Si,Mn,Cr,Mo,Ni,Al,Cu,ppmB,Pa,Rc,lnRc,Texp
CM44,0.38,0.44,0.98,0.86,0.77,1.57,0,0,0,1069.8,0.031,-3.473768074,686
CM44,0.38,0.44,0.97,0.86,0.77,1.57,0,0,0,1069.8,0.007,-4.96184513,705
CM45,0.38,0.44,0.95,0.88,0.46,1.57,0,0,0,1079.37,0.008,-4.828313737,699
CM46,0.4,0.46,0.83,0.86,0.05,2.71,0,0,0,1041.04,0.347,-1.058430499,649
CM46,0.4,0.46,0.83,0.86,0.05,2.71,0,0,0,1041.04,0.126,-2.071473372,661
CM46,0.4,0.46,0.83,0.86,0.05,2.71,0,0,0,1041.04,0.029,-3.540459449,675
CM46,0.4,0.46,0.83,0.86,0.05,2.71,0,0,0,1041.04,0.007,-4.96184513,682
CM47,0.4,0.47,0.82,0.87,0.38,2.7,0,0,0,1041.04,0.036,-3.324236341,646
CM47,0.4,0.47,0.82,0.87,0.38,2.7,0,0,0,1041.04,0.008,-4.828313737,679
CM48,0.39,0.44,0.82,0.87,0.78,2.63,0,0,0,1041.04,0.007,-4.96184513,655
CM49,0.41,0.37,0.85,0.88,0.05,3.78,0,0,0,1026.65,0.133,-2.017406151,601
CM49,0.41,0.37,0.85,0.88,0.05,3.78,0,0,0,1026.65,0.028,-3.575550769,635
CM49,0.41,0.37,0.85,0.88,0.05,3.78,0,0,0,1026.65,0.008,-4.828313737,649
CM50,0.41,0.38,0.85,0.88,0.38,3.77,0,0,0,1021.85,0.008,-4.828313737,611
CM51,0.4,0.37,0.83,0.88,0.77,3.73,0,0,0,1017.05,0.007,-4.96184513,627
CM52,0.41,2,1.91,0.9,0,0,0,0,0,1093.73,0.968,-0.032523192,670
CM52,0.41,2,1.91,0.9,0,0,0,0,0,1093.73,0.143,-1.944910649,704
CM52,0.41,2,1.91,0.9,0,0,0,0,0,1093.73,0.008,-4.828313737,733
CM53,0.4,2.01,1.88,0.91,0.54,0,0,0,0,1098.52,0.15,-1.897119985,664
CM53,0.4,2.01,1.88,0.91,0.54,0,0,0,0,1098.52,0.032,-3.442019376,689
CM53,0.4,2.01,1.88,0.91,0.54,0,0,0,0,1098.52,0.008,-4.828313737,699
CM54,0.39,1.98,1.86,0.89,0.32,0,0,0,0,1131.99,0.033,-3.411247718,687
CM54,0.39,1.97,1.85,0.89,0.32,0,0,0,0,1131.99,0.008,-4.828313737,717
CM55,0.39,1.97,1.83,0.88,0.33,0,0,0,0,1103.3,0.034,-3.381394754,691
CM55,0.39,1.96,1.83,0.88,0.33,0,0,0,0,1103.3,0.008,-4.828313737,711
CM56,0.41,1.82,1.83,0.92,0.06,1.28,0,0,0,1079.37,0.146,-1.924148657,652
CM56,0.41,1.82,1.83,0.92,0.06,1.28,0,0,0,1079.37,0.032,-3.442019376,682
CM56,0.41,1.82,1.83,0.92,0.06,1.28,0,0,0,1079.37,0.008,-4.828313737,696
CM57,0.41,1.81,1.81,0.92,0.51,1.25,0,0,0,1088.95,0.033,-3.411247718,630
CM57,0.41,1.81,1.81,0.92,0.51,1.25,0,0,0,1088.95,0.008,-4.828313737,665
CM58,0.4,1.76,1.79,0.9,0.34,1.23,0,0,0,1084.16,0.032,-3.442019376,620
CM58,0.4,1.76,1.79,0.9,0.35,1.23,0,0,0,1084.16,0.008,-4.828313737,635
CM59,0.4,1.78,1.77,0.89,0.35,1.19,0,0,0,1084.16,0.033,-3.411247718,645
CM59,0.4,1.77,1.77,0.89,0.35,1.19,0,0,0,1084.16,0.008,-4.828313737,672
CM60,0.37,0.47,1.01,0,0,1.57,0,0,0,1050.63,3.006,1.100610291,670
